0,0.12,2
0,0.119361,4
-0.00376928,0.11994,450
0,0.118724,5
-0.00375101,0.119279,796
-0.0075348,0.119762,451
0,0.118088,6
-0.00373011,0.118625,797
-0.00749075,0.119075,994
-0.0112928,0.119466,452
0,0.117453,7
-0.00370773,0.117977,798
-0.00744271,0.118397,995
-0.0112214,0.118753,1192
-0.0150397,0.119051,453
0,0.11682,8
-0.00368457,0.117333,799
-0.0073922,0.117727,996
-0.0111426,0.118049,1193
-0.0149389,0.118313,1390
-0.0187717,0.11852,454
0,0.116188,9
-0.00366102,0.116692,800
-0.00734024,0.117062,997
-0.0110592,0.117353,1194
-0.0148262,0.117583,1391
-0.0186398,0.117757,1588
-0.0224852,0.117871,455
0,0.115558,10
-0.00363733,0.116053,801
-0.00728745,0.116402,998
-0.0109732,0.116663,1195
-0.0147059,0.116861,1392
-0.0184904,0.117002,1589
-0.0223204,0.117085,1786
-0.0261764,0.117106,456
0,0.114929,11
-0.00361363,0.115417,802
-0.00723425,0.115745,999
-0.0108856,0.115979,1196
-0.0145812,0.116146,1393
-0.01833,0.116254,1590
-0.0221323,0.116305,1787
-0.0259771,0.116297,1984
-0.0298417,0.116226,457
0,0.114302,12
-0.00359,0.114782,803
-0.00718092,0.115092,1000
-0.0107973,0.115299,1197
-0.014454,0.115437,1394
-0.0181631,0.115514,1591
-0.0219292,0.115534,1788
-0.0257483,0.115496,1985
-0.0296065,0.115396,2182
-0.0334776,0.11523,458
0,0.113676,13
-0.00356648,0.114149,804
-0.00712763,0.114442,1001
-0.0107088,0.114624,1198
-0.0143256,0.114734,1395
-0.0179925,0.114781,1592
-0.0217174,0.114771,1789
-0.0255006,0.114703,1986
-0.0293355,0.114574,2183
-0.033205,0.114382,2380
-0.0370804,0.114122,459
0,0.113051,14
-0.00354307,0.113518,805
-0.00707449,0.113794,1002
-0.0106203,0.113953,1199
-0.014197,0.114037,1396
-0.0178203,0.114055,1593
-0.0215007,0.114015,1790
-0.0252416,0.113918,1987
-0.0290415,0.113761,2184
-0.0328902,0.113541,2381
-0.0367691,0.113255,2578
-0.0406466,0.1129,460
0,0.112428,15
-0.00351978,0.112888,806
-0.00702158,0.113148,1003
-0.0105323,0.113286,1200
-0.0140687,0.113344,1397
